,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
42,carballo,43.213,-8.691,54,97,99,3.78,ES,1611612586
43,hay river,60.8156,-115.7999,-20.2,69,100,6.91,CA,1611612558
44,namibe,-15.1961,12.1522,76.05,74,6,6.13,AO,1611612365
45,the valley,18.217,-63.0578,80.6,73,40,10.36,AI,1611612586
46,murupara,-38.4667,176.7,78.01,61,4,5.99,NZ,1611612586
47,torbay,47.6666,-52.7314,28,93,90,8.05,CA,1611612586
48,nouadhibou,20.931,-17.0347,71.6,56,0,16.11,MR,1611612586
49,buchanan,5.8808,-10.0467,77,94,20,6.33,LR,1611612586
50,lerwick,60.1545,-1.1494,35.6,69,77,12.66,GB,1611612587
51,lamu,-2.2717,40.902,76.91,85,30,11.45,KE,1611612587
52,goderich,43.7501,-81.7165,30.2,80,97,2.3,CA,1611612587
53,kapaa,22.0752,-159.319,77,83,90,21.85,US,1611612587
54,puerto ayora,-0.7393,-90.3518,80.6,74,75,14.97,EC,1611612587
55,klyuchi,52.2667,79.1667,-3.86,92,90,3.62,RU,1611612587
56,bethel,41.3712,-73.414,30.2,43,1,4.61,US,1611612587
57,ponta do sol,32.6667,-17.1,60.01,79,34,1.99,PT,1611612588
58,new norfolk,-42.7826,147.0587,66,64,51,4,AU,1611612588
59,puerto carreno,6.189,-67.4859,88.59,48,77,13.24,CO,1611612588
60,port blair,11.6667,92.75,73.63,79,57,6.93,IN,1611612588
61,qusar,41.4273,48.4289,36.01,73,41,3.94,AZ,1611612588
62,port hardy,50.6996,-127.4199,39.2,81,75,3.44,CA,1611612589
63,sisimiut,66.9395,-53.6735,11.44,93,99,3.51,GL,1611612589
64,dikson,73.5069,80.5464,-24.34,85,100,13.62,RU,1611612589
65,sinnamary,5.3833,-52.95,77.88,84,69,9.93,GF,1611612589
66,belmonte,-15.8631,-38.8828,78.8,73,40,8.05,BR,1611612589
67,lebu,-37.6167,-73.65,59.97,75,0,15.82,CL,1611612589
68,avarua,-21.2078,-159.775,84.2,74,75,12.66,CK,1611612351
69,bonthe,7.5264,-12.505,77.79,82,9,8.41,SL,1611612589
70,kawalu,-7.3817,108.2082,72.25,88,69,1.54,ID,1611612590
71,fort smith,35.3859,-94.3986,60.01,72,1,18.41,US,1611612318
72,marcona,,,,,,,,
73,nizhneyansk,,,,,,,,
74,gjirokaster,40.0758,20.1389,59,67,40,12.66,AL,1611612590
75,borlange,,,,,,,,
76,arivonimamo,-19.0167,47.1833,64.4,94,75,2.3,MG,1611612590
77,skibbereen,51.55,-9.2667,39.2,81,75,6.91,IE,1611612590
78,antofagasta,-23.65,-70.4,69.8,68,40,11.5,CL,1611612591
79,qaanaaq,77.484,-69.3632,6.49,65,0,7.78,GL,1611612591
80,kualakapuas,-3.0091,114.3876,75.2,100,75,2.3,ID,1611612591
81,hithadhoo,-0.6,73.0833,81.46,73,88,4.68,MV,1611612591
82,tuktoyaktuk,69.4541,-133.0374,-2.2,78,90,10.36,CA,1611612591
83,viedma,-40.8135,-62.9967,77.49,21,0,11.72,AR,1611612591
84,sao jose da coroa grande,-8.8978,-35.1478,78.49,78,100,8.59,BR,1611612591
85,iqaluit,63.7506,-68.5145,-4,77,1,10.29,CA,1611612592
86,lindi,-10,39.7167,75.2,88,20,8.05,TZ,1611612502
87,gebre guracha,9.8,38.4,55.17,57,18,4.18,ET,1611612592
88,nanortalik,60.1432,-45.2371,21.27,87,3,10.78,GL,1611612592
89,klichka,50.4457,117.996,-10.97,88,93,10.78,RU,1611612592
90,esperance,-33.8667,121.9,55.4,94,40,4.61,AU,1611612592
91,attawapiskat,,,,,,,,
92,luanda,-8.8368,13.2343,80.6,78,40,2.3,AO,1611612592
93,paita,-5.0892,-81.1144,80.6,65,75,10.36,PE,1611612593
94,hamilton,39.1834,-84.5333,34,86,90,12.66,US,1611612593
95,ribeira grande,38.5167,-28.7,64.4,94,75,18.41,PT,1611612593
96,sao joao da barra,-21.6403,-41.0511,80.6,74,0,18.41,BR,1611612593
97,chara,56.9064,118.2631,-17.39,84,100,1.86,RU,1611612593
98,smithers,54.7804,-127.1743,19.4,93,90,3.44,CA,1611612593
99,shabo,46.1326,30.386,39.2,93,40,17.9,UA,1611612593
100,pacific grove,36.6177,-121.9166,51.01,62,20,23.02,US,1611612593
101,norman wells,65.282,-126.8329,-11.2,77,75,4.61,CA,1611612594
102,sioux lookout,50.1001,-91.917,-2.2,65,20,3.44,CA,1611612594
103,east london,-33.0153,27.9116,70.72,77,52,19.93,ZA,1611612594
104,lasa,46.6166,10.7002,24.8,86,0,1.14,IT,1611612594
105,kaitangata,-46.2817,169.8464,69.73,52,99,8.1,NZ,1611612594
106,palmer,42.1584,-72.3287,32,34,20,5.21,US,1611612594
107,gorno-chuyskiy,,,,,,,,
108,san quintin,30.4833,-115.95,55.58,62,73,32.44,MX,1611612595
109,belushya guba,,,,,,,,
110,mayo,38.8876,-76.5119,37,55,90,4.61,US,1611612595
111,albany,42.6001,-73.9662,28,57,46,2.75,US,1611612595
112,rio grande,-32.035,-52.0986,80.01,76,4,11.07,BR,1611612595
113,sakakah,29.9697,40.2064,50,29,0,3.44,SA,1611612595
114,mys shmidta,,,,,,,,
115,yellowknife,62.456,-114.3525,-18.99,69,20,11.5,CA,1611612433
116,isangel,-19.55,169.2667,84.2,79,75,6.91,VU,1611612596
117,beringovskiy,63.05,179.3167,-2.45,90,100,14.27,RU,1611612596
118,maragogi,-9.0122,-35.2225,78.28,79,100,8.93,BR,1611612596
119,castro,-24.7911,-50.0119,65.8,92,100,4.65,BR,1611612596
120,richards bay,-28.783,32.0377,68.79,87,100,5.21,ZA,1611612439
121,voh,-20.9667,164.7,79.16,74,93,7.94,NC,1611612596
122,alberdi,-32.8899,-60.6906,80.6,74,75,5.75,AR,1611612596
123,saleaula,,,,,,,,
124,tasiilaq,65.6145,-37.6368,8.6,61,20,11.5,GL,1611612596
125,chuy,-33.6971,-53.4616,78.35,71,5,11.88,UY,1611612597
126,roma,43.2128,-75.4557,24.8,63,1,0.74,US,1611612500
127,harper,4.375,-7.7169,78.17,85,0,6.42,LR,1611612400
128,laramie,41.3114,-105.5911,24.01,86,20,8.05,US,1611612423
129,hearst,49.6835,-83.6665,6.8,78,100,5.75,CA,1611612528
130,codrington,-38.2667,141.9667,61.92,83,100,13.71,AU,1611612597
131,jamestown,42.097,-79.2353,32,64,1,6.91,US,1611612597
132,khatanga,71.9667,102.5,-18.17,87,100,9.89,RU,1611612597
133,coquimbo,-29.9533,-71.3436,66.2,72,40,11.5,CL,1611612598
134,mankono,8.0586,-6.1897,75.67,22,0,2.37,CI,1611612598
135,hammerfest,70.6634,23.6821,17.6,73,75,10.36,NO,1611612486
136,arlit,18.7369,7.3853,64.44,20,0,6.98,NE,1611612598
137,haines junction,60.7522,-137.5108,5,78,100,1.14,CA,1611612598
138,ginda,30.6945,78.4932,38.77,44,0,7.2,IN,1611612598
139,hobart,-42.8794,147.3294,66,88,40,3.33,AU,1611612598
140,severiano melo,-5.7772,-37.9578,83.07,59,100,10.58,BR,1611612599
141,grong,64.4654,12.3149,21.96,96,97,3.49,NO,1611612599
142,fortuna,40.5982,-124.1573,48,81,20,7.54,US,1611612427
143,aykhal,66,111.5,-38.31,78,41,2.01,RU,1611612599
144,suicheng,33.8963,117.9331,43.21,93,100,7.11,CN,1611612599
145,clyde river,70.4692,-68.5914,6.8,92,40,31.07,CA,1611612599
146,lavrentiya,65.5833,-171,-5.08,85,58,6.73,RU,1611612599
147,beaufort,5.3473,115.7455,77,94,20,2.01,MY,1611612600
148,fort nelson,58.8053,-122.7002,1.4,66,75,3.58,CA,1611612600
149,russell,32.3502,-85.1999,75.2,46,75,6.91,US,1611612600
150,upernavik,72.7868,-56.1549,4.78,81,0,3.67,GL,1611612600
151,kazalinsk,,,,,,,,
152,ponta delgada,37.7333,-25.6667,63,94,75,12.66,PT,1611612600
153,tiksi,71.6872,128.8694,-41.48,79,96,7.02,RU,1611612600
154,warqla,,,,,,,,
155,virginia beach,36.8529,-75.978,44.01,90,100,9.01,US,1611612310
156,saskylakh,71.9167,114.0833,-34.08,81,20,4.61,RU,1611612601
157,barawe,,,,,,,,
158,ostrovnoy,68.0531,39.5131,17.04,96,100,13.62,RU,1611612601
159,jijiga,9.35,42.8,55.81,34,0,9.33,ET,1611612601
160,gillette,44.2911,-105.5022,19.4,93,90,8.05,US,1611612601
161,labuan,5.2767,115.2417,77,94,20,3.67,MY,1611612602
162,dakar,14.6937,-17.4441,68,68,0,9.22,SN,1611612602
163,banda aceh,5.5577,95.3222,77.88,78,100,9.55,ID,1611612602
164,kruisfontein,-34.0033,24.7314,64,87,0,1.99,ZA,1611612604
165,illoqqortoormiut,,,,,,,,
166,mercedes,-34.6515,-59.4307,93.99,44,53,1.99,AR,1611612604
167,coruripe,-10.1256,-36.1756,77.72,80,100,9.17,BR,1611612344
168,manono,-7.3,27.4167,65.68,95,100,1.1,CD,1611612605
169,mount isa,-20.7333,139.5,82.4,65,90,8.05,AU,1611612605
170,faanui,-16.4833,-151.75,81.27,75,22,15.84,PF,1611612605
171,nova londrina,-22.7658,-52.985,74.53,87,100,2.91,BR,1611612605
172,murray bridge,-35.1167,139.2667,61,94,100,12.26,AU,1611612606
173,maracacume,-2.0428,-45.9592,75.99,95,100,2.3,BR,1611612606
174,nikolskoye,59.7035,30.7861,37,93,90,4.47,RU,1611612606
175,saint george,37.1041,-113.5841,41,87,90,3.44,US,1611612606
176,kargasok,59.0556,80.8572,-47.25,77,48,6.76,RU,1611612606
177,najran,17.4924,44.1277,57.2,30,14,1.03,SA,1611612606
178,bograd,54.2344,90.8328,-34.6,74,1,2.24,RU,1611612607
179,illapel,-31.6308,-71.1653,78.17,39,5,7.54,CL,1611612607
180,marzuq,14.4,46.4667,54.73,33,1,2.68,YE,1611612607
181,rio gallegos,-51.6226,-69.2181,51.8,43,75,23.02,AR,1611612607
182,yar-sale,66.8333,70.8333,-18.62,87,100,14.03,RU,1611612607
183,mount darwin,-16.7725,31.5838,65.41,91,100,1.48,ZW,1611612607
184,cabo san lucas,22.8909,-109.9124,70,52,1,17.27,MX,1611612608
185,tecoanapa,16.5167,-98.75,83.14,66,2,12.44,MX,1611612608
186,luderitz,-26.6481,15.1594,67.71,69,27,21.18,NA,1611612608
187,severnyy,50.677,36.5532,35.6,87,75,17.9,RU,1611612608
188,grand river south east,,,,,,,,
189,atar,20.5169,-13.0499,69.67,18,0,8.9,MR,1611612608
190,udachnyy,66.4167,112.4,-37.61,80,70,1.41,RU,1611612608
191,pevek,69.7008,170.3133,-25.49,86,100,7,RU,1611612609
192,gondang,-7.0109,111.3189,74.77,90,91,2.62,ID,1611612609
193,longlac,,,,,,,,
194,klaksvik,62.2266,-6.589,28.4,86,75,11.5,FO,1611612609
195,shiyan,32.6475,110.7781,38.12,75,7,3.71,CN,1611612609
196,edd,13.9297,41.6925,74.44,49,49,17.34,ER,1611612609
197,luena,-11.7833,19.9167,63.37,97,98,4.12,AO,1611612609
198,inta,66.0317,60.1659,10.11,96,100,8.59,RU,1611612609
199,apaxco,,,,,,,,
200,mirabad,30.4362,61.8383,37.98,56,0,1.12,AF,1611612610
201,hermon,44.8101,-68.9134,28.4,50,1,14.97,US,1611612610
202,placido de castro,-10.3353,-67.1856,84.67,70,62,2.86,BR,1611612610
203,souillac,-20.5167,57.5167,73.4,94,20,1.14,MU,1611612610
204,cap malheureux,-19.9842,57.6142,75,82,24,3,MU,1611612610
205,kodiak,57.79,-152.4072,39.2,65,90,13.8,US,1611612610
206,leningradskiy,69.3833,178.4167,-14.85,86,100,17.31,RU,1611612610
207,carnarvon,-24.8667,113.6333,71.6,73,40,13.8,AU,1611612611
208,westport,41.1415,-73.3579,34,37,1,10.36,US,1611612350
209,vestmannaeyjar,63.4427,-20.2734,33.64,84,100,33.51,IS,1611612611
210,laguna,38.421,-121.4238,54,35,1,16.11,US,1611612611
211,beyneu,45.3167,55.2,30.36,93,0,16.67,KZ,1611612611
212,vaitupu,,,,,,,,
213,port macquarie,-31.4333,152.9167,75,72,5,11.39,AU,1611612611
214,la paz,-16.5,-68.15,51.8,76,75,11.5,BO,1611612387
215,esna,25.2934,32.554,55.4,50,0,3.44,EG,1611612612
216,ust-kuyga,70.0167,135.6,-44.16,74,81,4.03,RU,1611612612
217,tucuman,-26.8241,-65.2226,87.8,62,75,8.05,AR,1611612395
218,bengkulu,-3.8004,102.2655,74.17,91,100,6.8,ID,1611612612
219,brae,60.3964,-1.353,35.6,69,80,12.66,GB,1611612612
220,longyearbyen,78.2186,15.6401,12.2,62,20,23.02,SJ,1611612612
221,kyshtovka,56.555,76.6271,-22.25,86,100,6.78,RU,1611612612
222,riyadh,24.6877,46.7219,53.6,20,0,8.05,SA,1611612426
223,cadillac,44.2519,-85.4012,24.8,63,1,9.22,US,1611612606
224,alice springs,-23.7,133.8833,82.4,57,75,5.75,AU,1611612511
225,rawson,-43.3002,-65.1023,78.67,23,0,12.57,AR,1611612577
226,leh,34.1667,77.5833,0.82,64,0,0.76,IN,1611612613
227,cherskiy,68.75,161.3,-38.31,82,46,2.21,RU,1611612613
228,uthal,25.8072,66.6219,50.54,45,0,1.45,PK,1611612613
229,mersing,2.4312,103.8405,77,83,95,6.91,MY,1611612613
230,makokou,0.5738,12.8642,71.83,92,98,2.42,GA,1611612614
231,amderma,,,,,,,,
232,hudson bay,52.85,-102.3842,-9.24,87,55,0.54,CA,1611612614
233,nemuro,43.3236,145.575,16.48,89,70,9.95,JP,1611612614
234,murgab,37.4966,61.9714,28.4,80,0,4.63,TM,1611612614
235,vila velha,-20.3297,-40.2925,79,78,40,10.36,BR,1611612614
236,zlatoustovsk,,,,,,,,
237,solnechnyy,50.7214,136.6319,-7.35,83,100,2.84,RU,1611612615
238,ushtobe,45.2514,77.9838,2.61,91,69,1.07,KZ,1611612615
239,rovaniemi,66.5,25.7167,19.4,93,90,9.22,FI,1611612615
240,barrow,71.2906,-156.7887,-5.8,77,1,12.66,US,1611612615
241,burica,,,,,,,,
242,kendari,-3.945,122.4989,76.23,88,100,3,ID,1611612471
243,tomatlan,19.9333,-105.25,85.62,41,13,10.67,MX,1611612615
244,tacoronte,28.4769,-16.4102,63,63,6,11.52,ES,1611612616
245,jerez,14.1,-89.75,87.8,37,40,4.61,GT,1611612616
246,beira,-19.8436,34.8389,77,88,40,5.17,MZ,1611612616
247,lorengau,-2.0226,147.2712,83.23,68,97,4.25,PG,1611612616
248,sorland,67.667,12.6934,36.77,86,100,22.37,NO,1611612616
249,garden city,42.3256,-83.331,32,80,90,11.5,US,1611612616
250,tanggu,39.0211,117.6469,23,93,90,4.47,CN,1611612616
251,pacifica,37.6138,-122.4869,53.01,62,20,27.63,US,1611612617
252,mahebourg,-20.4081,57.7,73.4,94,20,1.14,MU,1611612617
253,geraldton,-28.7667,114.6,69.91,72,56,14.58,AU,1611612617
254,nishihara,26.1842,127.7558,62.6,77,40,6.91,JP,1611612617
255,los llanos de aridane,28.6585,-17.9182,66.2,72,90,9.22,ES,1611612369
256,sikonge,-5.6333,32.7667,66.2,88,75,13.8,TZ,1611612617
257,rogatica,43.8008,19.0025,33.8,100,75,11.5,BA,1611612617
258,thompson,55.7435,-97.8558,-7.6,77,75,4.61,CA,1611612389
259,hailar,49.2,119.7,-7.06,86,11,17.16,CN,1611612618
260,herat,34.5,62,32.67,74,0,2.21,AF,1611612618
261,boyolangu,-8.1181,111.8935,75.13,79,86,1.1,ID,1611612618
262,tigil,57.8,158.6667,-9.49,89,100,1.23,RU,1611612618
263,gorelki,54.2747,37.6183,32.76,96,100,12.91,RU,1611612618
264,moranbah,-22.0016,148.0466,75.78,77,100,9.89,AU,1611612618
265,namatanai,-3.6667,152.4333,82.53,73,59,2.1,PG,1611612618
266,olafsvik,64.8945,-23.7142,27.59,91,100,33.96,IS,1611612619
267,whitehorse,60.7161,-135.0538,14,92,75,4.63,CA,1611612619
268,hami,42.8,93.45,15.82,78,52,2.39,CN,1611612619
269,cockburn town,21.4612,-71.1419,77,73,40,16.11,TC,1611612619
270,mehamn,71.0357,27.8492,28.4,86,90,18.41,NO,1611612619
271,bloemfontein,-29.1211,26.214,68,73,100,6.91,ZA,1611612619
272,poum,-20.2333,164.0167,79.66,79,100,19.06,NC,1611612619
273,meulaboh,4.1363,96.1285,75.85,86,100,5.44,ID,1611612432
274,pimenta bueno,-11.6725,-61.1936,81.19,82,90,2.91,BR,1611612620
275,asyut,27.181,31.1837,51.8,82,0,11.5,EG,1611612620
276,smidovich,48.6,133.8167,-0.09,91,100,14.25,RU,1611612620
277,prieska,-29.6641,22.7474,78.75,46,80,13.22,ZA,1611612620
278,vila franca do campo,37.7167,-25.4333,63,94,75,12.66,PT,1611612620
279,riachao das neves,-11.7461,-44.91,79.16,60,82,2.33,BR,1611612620
280,kuche,,,,,,,,
281,kamiiso,41.8167,140.65,33.8,75,75,5.75,JP,1611612621
282,tazovskiy,67.4667,78.7,-28.61,82,100,17.11,RU,1611612621
283,lagoa,39.05,-27.9833,61.77,91,100,24.27,PT,1611612621
284,naze,28.3667,129.4833,66.2,88,75,10.36,JP,1611612621
285,amahai,-3.3333,128.9167,82,88,100,1.01,ID,1611612621
286,wilkie,52.4168,-108.7014,-13,77,90,16.11,CA,1611612621
287,sun valley,39.5963,-119.776,30.99,74,90,14.97,US,1611612621
288,agirish,61.9247,63.0231,-2.33,93,100,5.03,RU,1611612622
289,ixtapa,20.7,-105.2,75.2,73,90,10.36,MX,1611612622
290,plouzane,48.3833,-4.6167,37.4,93,0,6.91,FR,1611612622
291,athabasca,54.7169,-113.2854,-5.8,65,100,11.5,CA,1611612622
292,sainte-anne-des-monts,49.124,-66.4924,26.6,93,100,23.02,CA,1611612622
293,bocaranga,,,,,,,,
294,gigmoto,13.7796,124.39,76.46,83,100,5.5,PH,1611612622
295,nieuw amsterdam,5.8833,-55.0833,81,74,20,2.3,SR,1611612623
296,ahipara,-35.1667,173.1667,72.72,66,54,7.02,NZ,1611612623
297,ihtiman,42.4333,23.8167,32,89,73,4,BG,1611612623
298,zamora,-4.0692,-78.9567,80.6,44,75,9.22,EC,1611612623
299,nadaun,31.7833,76.35,47.97,53,0,2.44,IN,1611612623
300,kilgore,32.3863,-94.8758,69.8,42,1,10.36,US,1611612624
301,san carlos de bariloche,-41.1456,-71.3082,66.99,41,20,29.93,AR,1611612624
302,oxelosund,58.6706,17.1015,26.6,93,75,9.22,SE,1611612624
303,vardo,70.3705,31.1107,26.6,93,75,3.44,NO,1611612624
304,butia,-30.1197,-51.9622,81.57,65,46,6.31,BR,1611612624
305,mount gambier,-37.8333,140.7667,60.8,88,75,12.66,AU,1611612624
306,caiaponia,-16.9567,-51.8103,73.9,79,100,0.92,BR,1611612624
307,la plata,-34.9215,-57.9545,89.01,54,0,4,AR,1611612388
308,yangjiang,21.85,111.9667,59.86,90,0,2.15,CN,1611612625
309,salalah,17.0151,54.0924,68,64,0,4.61,OM,1611612625
310,half moon bay,37.4636,-122.4286,53.6,62,20,27.63,US,1611612625
311,margate,51.3813,1.3862,36,73,21,4,GB,1611612625
312,samarai,-10.6167,150.6667,82.47,75,74,5.82,PG,1611612625
313,ketchikan,55.3422,-131.6461,33.8,100,75,2.44,US,1611612625
314,chagda,,,,,,,,
315,duluth,46.7833,-92.1066,18,53,1,3.44,US,1611612415
316,tawkar,,,,,,,,
317,dingle,10.9995,122.6711,71.46,92,81,7.63,PH,1611612626
318,tura,25.5198,90.2201,56.5,61,0,3.15,IN,1611612626
319,inhambane,-23.865,35.3833,79.5,89,100,6.67,MZ,1611612626
320,pangnirtung,66.1451,-65.7125,8.6,66,1,3.09,CA,1611612626
321,makakilo city,21.3469,-158.0858,80.6,65,90,9.22,US,1611612627
322,caravelas,-17.7125,-39.2481,76.48,82,82,4.83,BR,1611612627
323,juneau,58.3019,-134.4197,30.2,86,40,3.62,US,1611612627
324,murayama,38.5193,140.3346,32,80,75,3.44,JP,1611612627
325,penzance,50.1186,-5.5371,43,65,75,8.05,GB,1611612627
326,bambous virieux,-20.3428,57.7575,75,94,20,1.14,MU,1611612627
327,porbandar,21.6422,69.6093,62.62,31,5,12.17,IN,1611612627
328,saint-georges,12.0564,-61.7485,80.6,78,20,16.11,GD,1611612628
329,katsuura,35.1333,140.3,39.2,81,75,9.22,JP,1611612628
330,acapulco,16.8634,-99.8901,84.2,74,20,4.61,MX,1611612628
331,barcelona,41.3888,2.159,52,66,40,9.22,ES,1611612550
332,ilulissat,69.2167,-51.1,6.8,56,0,9.22,GL,1611612628
333,caraballeda,10.6112,-66.8522,82.4,65,40,4.61,VE,1611612629
334,likasi,-10.9814,26.7333,62.04,99,100,3.18,CD,1611612629
335,mikhaylovka,50.06,43.2379,35.01,93,100,5.01,RU,1611612629
336,okhotsk,59.3833,143.3,-23.98,76,0,15.64,RU,1611612629
337,kahului,20.8947,-156.47,78.8,65,75,18.41,US,1611612629
338,sao miguel do araguaia,-13.275,-50.1628,79,71,43,0.89,BR,1611612629
339,rognan,67.0953,15.3878,27,66,11,6.46,NO,1611612629
340,pokhara,28.2333,83.9833,51.26,40,0,4.16,NP,1611612630
341,neiafu,-18.65,-173.9833,77,94,90,5.75,TO,1611612630
342,nome,64.5011,-165.4064,3,78,1,3.44,US,1611612630
343,mudon,16.2578,97.7164,66.7,78,6,3.18,MM,1611612630
344,berlevag,70.8578,29.0864,28.4,86,75,28.77,NO,1611612630
345,yarmouth,41.7057,-70.2286,33.8,40,1,5.75,US,1611612630
346,tianpeng,30.9866,103.9393,44.6,100,93,2.44,CN,1611612630
347,colares,38.7992,-9.4469,60.01,100,95,10.29,PT,1611612631
348,hoyanger,61.2204,6.0749,25,86,75,3.44,NO,1611612631
349,cidreira,-30.1811,-50.2056,77.47,82,20,13.71,BR,1611612631
350,ustka,54.5805,16.8619,35.64,84,89,10.07,PL,1611612631
351,santa cruz del sur,20.7147,-77.9956,79.39,66,82,7.47,CU,1611612631
352,gushikawa,26.3544,127.8686,62.6,77,40,6.91,JP,1611612631
353,nha trang,12.25,109.1833,75.2,69,40,8.05,VN,1611612631
354,yarim,14.298,44.3779,47.41,44,11,3.71,YE,1611612631
355,ilebo,-4.3167,20.5833,69.51,94,98,1.43,CD,1611612632
356,narsaq,60.9167,-46.05,26.6,28,41,25.32,GL,1611612632
357,aquiraz,-3.9014,-38.3911,80.6,83,20,4.61,BR,1611612632
358,diamantino,-14.4086,-56.4461,80.35,75,94,3.13,BR,1611612589
359,toora-khem,52.4675,96.11,-18.51,83,95,1.34,RU,1611612632
360,kollegal,12.15,77.1167,63.28,86,0,1.99,IN,1611612632
361,manacapuru,-3.2997,-60.6206,84.2,74,40,2.3,BR,1611612632
362,erenhot,43.6475,111.9767,4.26,86,0,7.65,CN,1611612633
363,gualaquiza,-3.4,-78.55,64.69,88,98,0.96,EC,1611612633
364,humberto de campos,-2.5983,-43.4611,77.45,89,100,5.3,BR,1611612633
365,varna,43.2167,27.9167,36,87,0,6.91,BG,1611612633
366,severo-kurilsk,50.6789,156.125,20.77,93,96,22.44,RU,1611612633
367,sitangkai,4.6628,119.3928,80.85,79,100,9.93,PH,1611612633
368,tessalit,20.1986,1.0114,65.32,20,55,10.04,ML,1611612335
369,lompoc,34.6391,-120.4579,51.8,62,90,29.93,US,1611612439
370,chambas,22.1928,-78.9136,77,78,40,11.5,CU,1611612634
371,bathsheba,13.2167,-59.5167,78.8,69,40,16.11,BB,1611612634
372,cristobal obregon,16.35,-93.5333,93.2,26,1,2.3,MX,1611612634
373,kieta,-6.2167,155.6333,83.44,66,65,3.98,PG,1611612634
374,cuamba,-14.8031,36.5372,69.64,93,100,2.82,MZ,1611612634
375,thinadhoo,0.5333,72.9333,81.93,75,100,11.88,MV,1611612634
376,vipperod,55.6677,11.7397,35.01,90,100,9.57,DK,1611612617
377,provideniya,64.3833,-173.3,3.2,72,0,15.66,RU,1611612635
378,rio brilhante,-21.8019,-54.5464,74.53,86,100,2.33,BR,1611612635
379,wanaka,-44.7,169.15,69.85,54,94,10.76,NZ,1611612635
380,praia da vitoria,38.7333,-27.0667,66.2,88,75,18.57,PT,1611612635
381,thio,-21.6167,166.2167,80.6,61,0,5.75,NC,1611612635
382,sentyabrskiy,,,,,,,,
383,samalaeulu,,,,,,,,
384,cayenne,4.9333,-52.3333,77,100,75,4.61,GF,1611612636
385,ichinohe,40.2069,141.3017,25.48,93,6,3.78,JP,1611612636
386,kailua,21.4022,-157.7394,80.6,65,90,13.8,US,1611612578
