,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
164,beloha,-25.1667,45.05,78.22,82,55,13.15,MG,1611433424
165,rawannawi,,,,,,,,
166,hami,42.8,93.45,24.01,82,100,4.59,CN,1611433153
167,kodinsk,58.6881,99.1844,-20.79,85,99,2.73,RU,1611433425
168,hovd,48.0056,91.6419,9.84,81,100,2.46,MN,1611433425
169,saldanha,-33.0117,17.9442,66.2,72,97,14.97,ZA,1611433425
170,sabang,5.8933,95.3214,81,72,94,10,ID,1611433425
171,tocopilla,-22.092,-70.1979,74.91,50,21,10.47,CL,1611433425
172,kholmogory,64.2229,41.656,6.8,85,90,6.71,RU,1611433426
173,san quintin,30.4833,-115.95,59.27,59,79,11.23,MX,1611433426
174,whitehorse,60.7161,-135.0538,6.8,85,90,8.05,CA,1611433426
175,westport,41.1415,-73.3579,33.8,23,1,21.85,US,1611433328
176,araouane,18.9048,-3.5265,68.41,17,0,10.02,ML,1611433426
177,saint simons,31.1352,-81.3901,59,67,1,13.8,US,1611433426
178,mar del plata,-38.0023,-57.5575,82.4,69,0,16.11,AR,1611433321
179,coihaique,-45.5752,-72.0662,68,22,0,11.5,CL,1611433426
180,ribeira grande,38.5167,-28.7,62.6,94,75,14.97,PT,1611433427
181,geraldton,-28.7667,114.6,69.8,73,75,8.05,AU,1611433427
182,kudahuvadhoo,2.6708,72.8944,83.34,64,98,5.57,MV,1611433427
183,amderma,,,,,,,,
184,mahebourg,-20.4081,57.7,78.8,83,40,2.3,MU,1611433427
185,miraslau,46.3667,23.7167,33.8,93,75,2.3,RO,1611433427
186,tuktoyaktuk,69.4541,-133.0374,-20.2,76,1,18.41,CA,1611433427
187,saint george,37.1041,-113.5841,48.99,43,20,5.75,US,1611433427
188,marsh harbour,26.5412,-77.0636,74.16,70,6,9.62,BS,1611433428
189,muros,42.7762,-9.0603,55.99,85,100,5.01,ES,1611433428
190,quattro castella,44.635,10.4743,45,93,40,8.05,IT,1611433428
191,beringovskiy,63.05,179.3167,-9.63,88,1,2.95,RU,1611433428
192,urambo,-5.0667,32.05,64.99,89,100,1.81,TZ,1611433428
193,waipawa,-41.4122,175.5153,66.2,68,100,23.02,NZ,1611433428
194,kjollefjord,70.9457,27.3465,20.3,93,100,26.22,NO,1611433428
195,honningsvag,70.9821,25.9704,22.42,94,100,34.16,NO,1611433428
196,alice springs,-23.7,133.8833,86,48,92,18.41,AU,1611433429
197,tual,-5.6667,132.75,83.26,77,98,13.18,ID,1611433429
198,asau,46.4333,26.4,39.99,59,93,4.12,RO,1611433429
199,vila velha,-20.3297,-40.2925,82.4,74,20,10.36,BR,1611433429
200,le mars,42.7942,-96.1656,28,63,90,11.5,US,1611433429
201,nikolskoye,59.7035,30.7861,33.8,86,90,6.71,RU,1611433429
202,san patricio,28.017,-97.5169,69.8,88,90,14.97,US,1611433429
203,dingle,10.9995,122.6711,74.53,87,100,1.32,PH,1611433429
204,gulf gate estates,27.2517,-82.5147,75,78,1,9.22,US,1611433430
205,katangli,51.7102,143.2326,-2.63,87,100,4.61,RU,1611433430
206,windhoek,-22.5594,17.0832,66.2,94,100,1.14,NA,1611433430
207,san cristobal,7.7669,-72.225,86,54,40,11.5,VE,1611433258
208,myaundzha,63.0494,147.1858,-20.07,85,99,2.1,RU,1611433430
209,ottawa,45.4112,-75.6981,12,61,20,16.11,CA,1611433346
210,mahadday weyne,,,,,,,,
211,college,64.8569,-147.8028,21.99,78,75,2.95,US,1611433430
212,lasa,46.6166,10.7002,37.4,87,40,1.14,IT,1611433430
213,east london,-33.0153,27.9116,76.12,76,78,21.94,ZA,1611433214
214,norilsk,69.3535,88.2027,-35.39,68,37,0.6,RU,1611433431
215,aripuana,-9.1667,-60.6333,83.88,80,88,0.85,BR,1611433431
216,grindavik,63.8424,-22.4338,30.2,74,75,25.32,IS,1611433431
217,kirovskiy,45.0917,133.5136,5.86,90,0,5.5,RU,1611433431
218,lafia,8.4833,8.5167,81.63,16,99,5.14,NG,1611433431
219,caravelas,-17.7125,-39.2481,80.02,68,61,8.03,BR,1611433431
220,sabha,27.0377,14.4283,49.01,44,0,2.51,LY,1611433432
221,siuna,13.7332,-84.7773,86.76,49,23,6.93,NI,1611433432
222,yuli,9.6989,10.2744,76.35,18,100,6.6,NG,1611433432
223,waddan,29.1614,16.139,58.35,34,0,5.82,LY,1611433432
224,nerekhta,57.4588,40.5747,32,93,90,6.71,RU,1611433432
225,victoria,22.2855,114.1577,66,85,46,8.59,HK,1611433386
226,zapolyarnyy,69.4154,30.8136,12.2,79,100,17.27,RU,1611433270
227,paracuru,-3.41,-39.0306,81,76,83,15.01,BR,1611433432
228,marawi,7.9986,124.2928,73.99,93,100,5.01,PH,1611433432
229,qingyuan,23.7,113.0333,64.99,72,20,6.71,CN,1611433433
230,albesti,47.7,27.0667,36,87,0,4.61,RO,1611433433
231,barentsburg,,,,,,,,
232,evensk,61.95,159.2333,-13.31,83,99,9.06,RU,1611433433
233,kruisfontein,-34.0033,24.7314,71.01,77,100,5.01,ZA,1611433433
234,margate,51.3813,1.3862,37,71,0,4,GB,1611433433
235,matara,5.9485,80.5353,72.82,88,0,7.99,LK,1611433433
236,talnakh,69.4865,88.3972,-34.19,66,62,1.12,RU,1611433433
237,nelson bay,-32.7167,152.15,72,77,0,10.11,AU,1611433434
238,dargaville,-35.9333,173.8833,66.94,72,14,10.09,NZ,1611433434
239,husavik,66.0449,-17.3389,30.2,93,90,20.71,IS,1611433434
240,codrington,-38.2667,141.9667,64.72,62,100,7.74,AU,1611433434
241,iqaluit,63.7506,-68.5145,12.2,85,20,12.66,CA,1611433434
242,rameshki,57.3439,36.0453,32.61,99,99,5.21,RU,1611433434
243,castro,-24.7911,-50.0119,72.03,83,100,2.91,BR,1611433434
244,lichinga,-13.3128,35.2406,66.2,94,75,9.22,MZ,1611433434
245,dryden,49.7833,-92.7503,15.8,79,90,12.66,CA,1611433387
246,huarmey,-10.0681,-78.1522,76.73,64,6,9.73,PE,1611433435
247,barra patuca,15.8,-84.2833,80.49,76,70,9.91,HN,1611433435
248,cherskiy,68.75,161.3,-24.47,86,100,4.43,RU,1611433435
249,haines junction,60.7522,-137.5108,3.2,85,100,1.48,CA,1611433435
250,kosh-agach,50,88.6667,-16.24,75,76,1.01,RU,1611433435
251,tanem,63.3078,10.4319,30.99,93,75,4.61,NO,1611433435
252,kaspiyskiy,45.3929,47.3707,35.73,89,64,14.58,RU,1611433268
253,batemans bay,-35.7167,150.1833,66.99,94,13,1.99,AU,1611433436
254,sambava,-14.2667,50.1667,77.52,87,49,6.33,MG,1611433436
255,aitape,-3.1374,142.3475,78.53,79,90,3.94,PG,1611433436
256,timra,62.487,17.3257,30.2,100,40,6.91,SE,1611433436
257,mildura,-34.2,142.15,71.6,35,95,5.75,AU,1611433436
258,ucluelet,48.9329,-125.5528,43,81,75,4.61,CA,1611433436
259,port elizabeth,-33.918,25.5701,68,88,40,18.41,ZA,1611433433
260,abu samrah,35.3029,37.1841,40.89,66,0,8.03,SY,1611433436
261,fort saint john,,,,,,,,
262,lata,40.1629,-8.3327,57,94,100,3,PT,1611433437
263,guajara-mirim,,,,,,,,
264,varhaug,58.6147,5.6457,32,93,75,6.91,NO,1611433437
265,ussel,45.55,2.3167,39.99,42,100,3.62,FR,1611433437
266,zhumadian,32.9794,114.0294,39.18,79,52,3.4,CN,1611433437
267,coquimbo,-29.9533,-71.3436,69.8,68,20,12.66,CL,1611433396
268,itirapina,-22.2528,-47.8228,86,48,40,6.91,BR,1611433437
269,quang ngai,15.1167,108.8,65.53,91,1,1.74,VN,1611433213
270,itarema,-2.9248,-39.9167,82.44,70,94,14.2,BR,1611433438
271,cartagena,10.3997,-75.5144,86,70,75,16.11,CO,1611433406
272,tumannyy,,,,,,,,
273,tura,25.5198,90.2201,57,65,100,2.06,IN,1611433438
274,vardo,70.3705,31.1107,23.13,96,100,33.11,NO,1611433438
275,amuntai,-2.4177,115.2494,72.68,95,96,1.32,ID,1611433438
276,jalu,29.0331,21.5482,52.12,43,0,8.75,LY,1611433438
277,ponta do sol,32.6667,-17.1,61,78,100,1.99,PT,1611433439
278,zhetybay,,,,,,,,
279,warqla,,,,,,,,
280,nyrob,60.733,56.7202,-8.7,85,99,6.33,RU,1611433439
281,aden,12.7794,45.0367,76.37,71,89,14.63,YE,1611433364
282,kuche,,,,,,,,
283,maumere,-8.6199,122.2111,80.2,78,87,5.3,ID,1611433439
284,waverley,-25.7023,28.2591,79,60,100,8.05,ZA,1611433439
285,bonthe,7.5264,-12.505,78.96,79,1,10.18,SL,1611433440
286,saleaula,,,,,,,,
287,thanh hoa,19.8,105.7667,60.96,92,0,2.91,VN,1611433440
288,nishihara,26.1842,127.7558,66.2,77,75,21.85,JP,1611433440
289,san juan bautista,-14.0108,-75.7358,80.6,57,0,11.5,PE,1611433440
290,aswan,24.0934,32.907,60.78,30,0,10.58,EG,1611433440
291,palana,59.1167,159.9667,-3.73,96,100,2.66,RU,1611433440
292,eureka,40.8021,-124.1637,51.01,70,0,7,US,1611433441
293,cervo,43.6702,-7.4101,53.01,90,100,11.99,ES,1611433441
294,kirakira,-10.4544,161.9205,80.91,74,100,6.17,SB,1611433441
295,umzimvubu,,,,,,,,
296,cayenne,4.9333,-52.3333,78.8,89,75,6.91,GF,1611433441
297,miranorte,,,,,,,,
298,marsabit,2.3284,37.9899,68.5,73,11,5.48,KE,1611433441
299,am timan,11.0297,20.2827,77.81,20,51,4.81,TD,1611433441
300,vacaria,-28.5122,-50.9339,81,47,47,5.99,BR,1611433211
301,rundu,-17.9333,19.7667,69.69,87,100,4.23,NA,1611433442
302,brownsville,25.9018,-97.4975,80.6,61,90,14.97,US,1611433442
303,attawapiskat,,,,,,,,
304,chokurdakh,70.6333,147.9167,-37.16,83,87,6.35,RU,1611433442
305,camana,-16.6228,-72.7111,74.1,68,45,8.46,PE,1611433442
306,lagoa,39.05,-27.9833,62.29,83,100,13.78,PT,1611433442
307,petropavlovsk-kamchatskiy,53.0452,158.6483,-4,65,3,8.95,RU,1611433443
308,buritis,-15.6178,-46.4233,82.76,57,74,5.57,BR,1611433443
309,adrar,20.5022,-10.0711,68.68,19,2,9.35,MR,1611433443
310,el alto,-4.2714,-81.2147,86,58,0,11.5,PE,1611433443
311,yandoon,,,,,,,,
312,sept-iles,50.2001,-66.3821,21.99,73,100,10.36,CA,1611433277
313,xingcheng,40.6167,120.7167,25.23,91,82,1.34,CN,1611433443
314,antalaha,-14.9003,50.2788,76.62,87,25,5.64,MG,1611433443
315,sitka,57.0531,-135.33,37.4,93,90,7.52,US,1611433444
316,santa fe,-31.6333,-60.7,98.01,38,45,8.01,AR,1611433196
317,tidore,,,,,,,,
318,morayfield,-27.1167,152.95,68,97,100,1.88,AU,1611433444
319,wilmington island,32.0036,-80.9737,60.01,41,14,1.01,US,1611433444
320,ouagadougou,12.3642,-1.5383,75.2,20,73,4.61,BF,1611433444
321,xuddur,4.1213,43.8894,78.49,34,86,12.3,SO,1611433444
322,gao,16.6362,1.637,70.2,18,0,11.34,ML,1611433402
323,ylivieska,64.0833,24.55,34,95,99,8.01,FI,1611433445
324,taburi,,,,,,,,
325,ossora,59.2353,163.0719,-5.22,87,35,4.45,RU,1611433445
326,faanui,-16.4833,-151.75,81.3,69,5,12.93,PF,1611433445
327,krasnoye,49.9145,24.6134,41,87,0,6.71,UA,1611433445
328,kannad,20.2667,75.1333,68.99,39,0,6.58,IN,1611433445
329,nantucket,41.2835,-70.0995,30.99,47,75,18.41,US,1611433308
330,pechora,65.1472,57.2244,-15.84,85,100,7.34,RU,1611433445
331,itumbiara,-18.4192,-49.2153,86.97,48,99,5.48,BR,1611433446
332,poso,-1.3959,120.7524,79,84,100,2.71,ID,1611433446
333,timizart,36.8,4.2667,49.59,86,43,8.16,DZ,1611433446
334,arman,59.7,150.1667,-16.67,79,0,8.59,RU,1611433446
335,hanzhong,33.0728,107.0303,46.11,55,100,1.7,CN,1611433446
336,wanning,18.8003,110.3967,65.25,87,100,1.34,CN,1611433446
337,chaumont,48.1167,5.1333,37,91,98,7,FR,1611433446
338,reshetylivka,49.565,34.0782,38.62,96,100,10.74,UA,1611433446
339,copiapo,-27.3667,-70.3333,69.8,60,20,11.5,CL,1611433351
340,meulaboh,4.1363,96.1285,75.94,89,67,3.53,ID,1611433447
341,turbat,26.0023,63.044,52.7,28,0,11.9,PK,1611433447
342,krasnoturansk,54.3186,91.5639,1.4,71,0,3.04,RU,1611433447
343,buala,-8.145,159.5921,78.62,69,76,3.83,SB,1611433447
344,comodoro rivadavia,-45.8667,-67.5,66.2,42,20,16.11,AR,1611433447
345,redmond,47.674,-122.1215,42.01,85,1,1.99,US,1611433392
346,shimanovsk,52,127.7,-18.74,86,5,6.08,RU,1611433447
347,atasu,48.6814,71.6433,-8.07,91,59,3.71,KZ,1611433448
348,kitob,39.0843,66.8332,24.8,74,0,4.61,UZ,1611433448
349,kuvshinovo,57.0295,34.1725,30.61,99,90,4.99,RU,1611433448
350,ouango,4.3133,22.5552,77.05,31,51,1.45,CF,1611433448
351,sayat,38.7839,63.8803,30.2,74,0,9.22,TM,1611433448
352,chingola,-12.529,27.8838,61.74,99,100,2.62,ZM,1611433448
353,bubaque,11.2833,-15.8333,78.37,58,15,11.39,GW,1611433448
354,teguise,29.0605,-13.564,64.4,72,20,10.36,ES,1611433448
355,portree,57.4129,-6.1942,30.99,90,100,1.01,GB,1611433449
356,srisailam,16.0833,78.8667,65.39,82,0,3.04,IN,1611433449
357,tabulbah,,,,,,,,
358,banda aceh,5.5577,95.3222,77.27,82,76,7.99,ID,1611433449
359,chicama,-7.8447,-79.1469,73.4,83,40,9.22,PE,1611433449
360,lakhdenpokhya,61.5198,30.1992,34,94,100,8.55,RU,1611433449
361,krasnyy yar,46.5331,48.3456,32,93,40,6.71,RU,1611433449
362,salalah,17.0151,54.0924,71.6,26,0,11.5,OM,1611433449
363,divnogorsk,55.9594,92.3619,-4,84,0,4.68,RU,1611433450
364,klyuchi,52.2667,79.1667,-0.18,93,100,6.17,RU,1611433450
365,marfino,55.7028,37.3822,35.01,100,90,6.71,RU,1611433450
366,tilichiki,60.4667,166.1,-10.93,90,1,7.7,RU,1611433450
367,maniitsoq,65.4167,-52.9,18.95,78,0,5.03,GL,1611433450
368,wawa,9.9022,4.4192,80.92,16,0,4.65,NG,1611433450
369,bamnet narong,15.4992,101.6897,70.79,51,3,0.94,TH,1611433450
370,quatre cocos,-20.2078,57.7625,79,83,40,2.3,MU,1611433450
371,vilhena,-12.7406,-60.1458,75.2,94,75,10.36,BR,1611433451
372,mweka,-4.85,21.5667,69.93,95,98,0.85,CD,1611433451
373,pringsewu,-5.3582,104.9744,74.37,92,100,2.53,ID,1611433451
374,manicore,-5.8092,-61.3003,86,74,40,11.5,BR,1611433391
375,cabo san lucas,22.8909,-109.9124,73.4,56,40,11.5,MX,1611433180
376,narsaq,60.9167,-46.05,26.6,33,1,23.02,GL,1611433451
377,banjar,-8.19,114.9675,78.8,89,20,6.91,ID,1611433451
378,dhidhdhoo,6.8833,73.1,81.68,74,8,9.22,MV,1611433451
379,okitipupa,6.5047,4.7839,75.13,85,100,3.06,NG,1611433452
380,axim,4.8699,-2.2405,79.36,82,44,8.23,GH,1611433452
381,astana,51.1801,71.446,-4,77,90,4.47,KZ,1611433402
382,alotau,,,,,,,,
383,halifax,44.6453,-63.5724,30.2,93,99,5.75,CA,1611433409
384,katsuura,35.1333,140.3,39.2,87,75,23.02,JP,1611433452
385,san gabriel,34.0961,-118.1058,53.6,87,90,5.75,US,1611433452
386,khonuu,,,,,,,,
387,yelizovo,53.1873,158.3805,-4,65,27,8.95,RU,1611433453
388,mancio lima,-7.6142,-72.8958,77,100,75,2.3,BR,1611433453
389,namibe,-15.1961,12.1522,74.66,75,99,5.19,AO,1611433453
